A.C3,0,0,15,15
B.C3,15,0,15,15
C.C3,30,0,15,15
D.C3,45,0,15,15
E.C3,60,0,15,15
F.C3,75,0,15,15
G.C3,90,0,15,15
H.C3,105,0,15,15
I.C3,120,0,15,15
J.C3,135,0,15,15
K.C3,150,0,15,15
L.C3,165,0,15,15
M.C3,180,0,15,15
N.C3,195,0,15,15
O.C3,210,0,15,15
P.C3,225,0,15,15
Q.C3,240,0,15,15
R.C3,255,0,15,15
S.C3,270,0,15,15
T.C3,285,0,15,15
U.C3,300,0,15,15
V.C3,315,0,15,15
W.C3,330,0,15,15
X.C3,345,0,15,15
Y.C3,360,0,15,15
Z.C3,375,0,15,15
0.C3,390,0,15,15
1.C3,405,0,15,15
2.C3,420,0,15,15
3.C3,435,0,15,15
4.C3,450,0,15,15
5.C3,465,0,15,15
6.C3,480,0,15,15
7.C3,495,0,15,15
8.C3,510,0,15,15
9.C3,525,0,15,15
?.C3,540,0,15,15
'.C3,555,0,15,15
A.C2,0,16,10,10
B.C2,10,16,10,10
C.C2,20,16,10,10
D.C2,30,16,10,10
E.C2,40,16,10,10
F.C2,50,16,10,10
G.C2,60,16,10,10
H.C2,70,16,10,10
I.C2,80,16,10,10
J.C2,90,16,10,10
K.C2,100,16,10,10
L.C2,110,16,10,10
M.C2,120,16,10,10
N.C2,130,16,10,10
O.C2,140,16,10,10
P.C2,150,16,10,10
Q.C2,160,16,10,10
R.C2,170,16,10,10
S.C2,180,16,10,10
T.C2,190,16,10,10
U.C2,200,16,10,10
V.C2,210,16,10,10
W.C2,220,16,10,10
X.C2,230,16,10,10
Y.C2,240,16,10,10
Z.C2,250,16,10,10
0.C2,260,16,10,10
1.C2,270,16,10,10
2.C2,280,16,10,10
3.C2,290,16,10,10
4.C2,300,16,10,10
5.C2,310,16,10,10
6.C2,320,16,10,10
7.C2,330,16,10,10
8.C2,340,16,10,10
9.C2,350,16,10,10
?.C2,360,16,10,10
'.C2,370,16,10,10
A.C1,0,27,8,8
B.C1,8,27,8,8
C.C1,16,27,8,8
D.C1,24,27,8,8
E.C1,32,27,8,8
F.C1,40,27,8,8
G.C1,48,27,8,8
H.C1,56,27,8,8
I.C1,64,27,8,8
J.C1,72,27,8,8
K.C1,80,27,8,8
L.C1,88,27,8,8
M.C1,96,27,8,8
N.C1,104,27,8,8
O.C1,112,27,8,8
P.C1,120,27,8,8
Q.C1,128,27,8,8
R.C1,136,27,8,8
S.C1,144,27,8,8
T.C1,152,27,8,8
U.C1,160,27,8,8
V.C1,168,27,8,8
W.C1,176,27,8,8
X.C1,184,27,8,8
Y.C1,192,27,8,8
Z.C1,200,27,8,8
0.C1,208,27,8,8
1.C1,216,27,8,8
2.C1,224,27,8,8
3.C1,232,27,8,8
4.C1,240,27,8,8
5.C1,248,27,8,8
6.C1,256,27,8,8
7.C1,264,27,8,8
8.C1,272,27,8,8
9.C1,280,27,8,8
?.C1,288,27,8,8
'.C1,296,27,8,8
