Wall+Wall.L2,0,0,150,170
Wall.C2,151,0,208,170
Wall+Wall.R2,360,0,150,170
Writing+Wall.L2,0,171,150,170
Writing.C2,151,171,208,170
Wall+Writing.R2,360,171,150,170
Wall+Writing.L2,511,171,150,170
Writing+Wall.R2,662,171,150,170
Alcove+Alcove.L2,813,0,150,170
Alcove+Alcove.R2,813,171,150,170
Alcove+Wall.L2,0,342,150,170
Alcove.C2,151,342,208,170
Wall+Alcove.R2,360,342,150,170
Wall+Alcove.L2,511,342,150,170
Alcove+Wall.R2,662,342,150,170
Altar+Wall.L2,0,513,150,170
Altar.C2,151,513,208,170
Wall+Altar.R2,360,513,150,170
Wall+Altar.L2,511,513,150,170
Altar+Wall.R2,662,513,150,170
Fountain+Wall.L2,0,684,150,170
Fountain.C2,151,684,208,170
Wall+Fountain.R2,360,684,150,170
Wall+Fountain.L2,511,684,156,170
Fountain+Wall.R2,668,684,156,170
PillarBrick.L2,511,0,91,161
PillarBrick.C2,603,0,91,161
PillarBrick.R2,695,-1,91,161
Teleport+Teleport.L2,0,855,150,170
Teleport.C2,151,855,208,170
Teleport+Teleport.R2,360,855,150,170
PillarStone.L2,511,855,90,161
PillarStone.C2,602,855,90,161
PillarStone.R2,693,855,90,161
